Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0011289&tableOut=gene:25:Carcass	18.87	0.93	1.61	17.25	1.94	1.38	1.09	n.s.	9.36	0.86	0.66
index.html?fbgn=FBgn0011290&tableOut=gene:25:Carcass	9.13	1.2	1.37	8.92	0.32	0.96	1.02	n.s.	4.88	0.35	0.79
index.html?fbgn=FBgn0011291&tableOut=gene:25:Carcass	2.95	0.59	0.82	4.32	0.56	0.61	0.68	p > 0.05	2.55	0.62	0.65
index.html?fbgn=FBgn0011293&tableOut=gene:25:Carcass	0.11	0.03	0	0	0	0	1	p > 0.05	0.04	0.06	-1
index.html?fbgn=FBgn0011294&tableOut=gene:25:Carcass	0	0	0	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011296&tableOut=gene:25:Carcass	55.9	6.78	1.34	69.25	3.14	4.27	0.81	n.s.	375.49	101.51	3.28
index.html?fbgn=FBgn0011297&tableOut=gene:25:Carcass	2.22	0.3	0.91	2.82	0.55	0.74	0.79	n.s.	1.58	0.21	0.75
index.html?fbgn=FBgn0011300&tableOut=gene:25:Carcass	7.3	1.3	0.91	8.2	0.02	0.99	0.89	n.s.	6.84	0.31	0.93
index.html?fbgn=FBgn0011305&tableOut=gene:25:Carcass	11.93	1.13	0.89	9.57	1.12	1.05	1.25	n.s.	14.09	0.41	1.13
index.html?fbgn=FBgn0011327&tableOut=gene:25:Carcass	8.06	0.58	0.46	8.26	2.01	0.41	0.98	n.s.	19.45	6.04	1.01
index.html?fbgn=FBgn0011335&tableOut=gene:25:Carcass	2.8	0.79	1.09	3.53	0.2	0.76	0.79	n.s.	2.09	0.33	0.67
index.html?fbgn=FBgn0011336&tableOut=gene:25:Carcass	27.07	5.2	0.85	27.84	4.52	1.27	0.97	n.s.	35.39	2.17	1.05
index.html?fbgn=FBgn0011361&tableOut=gene:25:Carcass	207.64	35.01	1.71	172.38	19.89	1.68	1.2	n.s.	114.16	6.45	1.78
index.html?fbgn=FBgn0011455&tableOut=gene:25:Carcass	301.33	53.5	2.03	249.81	26.01	3.19	1.21	n.s.	106.08	14.69	1.84
index.html?fbgn=FBgn0011474&tableOut=gene:25:Carcass	2.08	0.29	0.65	3.63	1.06	0.27	0.57	n.s.	3.31	0.12	1.12
index.html?fbgn=FBgn0011476&tableOut=gene:25:Carcass	18.87	5.49	0.92	14.31	1.4	0.6	1.32	n.s.	13.65	7.15	2
index.html?fbgn=FBgn0011481&tableOut=gene:25:Carcass	6.7	1.15	0.89	7.44	0.58	0.6	0.9	n.s.	8.3	0.39	1.9
index.html?fbgn=FBgn0011509&tableOut=gene:25:Carcass	12	1.77	1.12	17.11	0.83	1.11	0.7	p > 0.05	19.61	1.88	1.02
index.html?fbgn=FBgn0011554&tableOut=gene:25:Carcass	1.39	0.64	0.27	1.12	1.27	0.18	1	n.s.	0	0	0
index.html?fbgn=FBgn0011555&tableOut=gene:25:Carcass	8	5.48	0.37	0.48	0.28	0.01	4	n.s.	0.03	0.05	0
index.html?fbgn=FBgn0011556&tableOut=gene:25:Carcass	1.62	1.16	0.18	0.21	0.32	0.02	1	n.s.	0.05	0.05	0
index.html?fbgn=FBgn0011559&tableOut=gene:25:Carcass	77.43	38.69	0.18	0.24	0.14	-1	39	n.s.	0.5	0.2	-1
index.html?fbgn=FBgn0011566&tableOut=gene:25:Carcass	2.93	0.26	1.18	3.78	0.67	0.7	0.78	n.s.	2.19	0.24	0.77
index.html?fbgn=FBgn0011569&tableOut=gene:25:Carcass	0.4	0.31	0.2	0.01	0.01	-1	1	n.s.	0.05	0.01	-1
index.html?fbgn=FBgn0011570&tableOut=gene:25:Carcass	9.29	0.5	1	10.25	1.04	0.63	0.91	n.s.	21.86	2.65	0.79
index.html?fbgn=FBgn0011573&tableOut=gene:25:Carcass	10.05	0.22	0.88	11.16	1.84	0.85	0.9	n.s.	9.06	0.78	0.63
index.html?fbgn=FBgn0011576&tableOut=gene:25:Carcass	18.12	1.15	1.91	12.49	1.97	5.25	1.45	p > 0.05	1.04	0.17	0.06
index.html?fbgn=FBgn0011581&tableOut=gene:25:Carcass	9.06	2.44	0.56	5.24	1.03	1.63	1.73	n.s.	1.83	0.71	0.81
index.html?fbgn=FBgn0011582&tableOut=gene:25:Carcass	0.18	0.07	0.09	0.15	0.11	-1	1	n.s.	0.09	0.02	-1
index.html?fbgn=FBgn0011584&tableOut=gene:25:Carcass	47.39	1.24	1.47	49.96	10.76	2.73	0.95	n.s.	27.9	1.86	0.91
index.html?fbgn=FBgn0011586&tableOut=gene:25:Carcass	16.36	1.95	1.52	19.06	2.3	0.68	0.86	n.s.	20.73	1.07	1.11
index.html?fbgn=FBgn0011589&tableOut=gene:25:Carcass	0.28	0.11	-1	0.26	0.07	-1	1	n.s.	1.53	0.08	-1
index.html?fbgn=FBgn0011591&tableOut=gene:25:Carcass	5.16	0.13	0.97	5.34	0.77	1.86	0.97	n.s.	10.25	0.45	1.44
index.html?fbgn=FBgn0011592&tableOut=gene:25:Carcass	1.36	0.34	0.42	1.69	0.35	0.4	1	n.s.	2.33	0.24	0.61
index.html?fbgn=FBgn0011596&tableOut=gene:25:Carcass	2.87	0.89	0.23	1.91	0.41	-1	1.44	n.s.	0.93	0.2	-1
index.html?fbgn=FBgn0011603&tableOut=gene:25:Carcass	9.5	1.43	0.81	10.18	1.88	2.8	0.93	n.s.	3.07	0.86	0.51
index.html?fbgn=FBgn0011604&tableOut=gene:25:Carcass	2.95	0.29	0.38	4.63	1.33	0.36	0.64	n.s.	6.42	0.16	1.02
index.html?fbgn=FBgn0011606&tableOut=gene:25:Carcass	1.13	0.25	0.19	1.44	1.22	0.17	1	n.s.	2.92	0.21	1.46
index.html?fbgn=FBgn0011638&tableOut=gene:25:Carcass	11.69	0.05	1.18	23.89	3.39	0.73	0.49	p > 0.05	13.18	0.75	0.82
index.html?fbgn=FBgn0011640&tableOut=gene:25:Carcass	11.55	1.08	1.27	14.02	0.98	0.8	0.82	p > 0.05	15.86	0.5	0.93
index.html?fbgn=FBgn0011642&tableOut=gene:25:Carcass	31.94	1.17	1.39	28.07	2.81	2.03	1.14	n.s.	40.36	2.93	1.33
index.html?fbgn=FBgn0011648&tableOut=gene:25:Carcass	8.82	0.22	1.14	8.84	0.16	0.63	1	n.s.	6.49	1.18	0.8
index.html?fbgn=FBgn0011653&tableOut=gene:25:Carcass	0	0	-1	0.04	0.04	-1	1	n.s.	0.48	0.13	-1
index.html?fbgn=FBgn0011655&tableOut=gene:25:Carcass	2.94	0.22	0.74	3.78	0.05	0.71	0.78	p > 0.05	2.89	0.08	0.92
index.html?fbgn=FBgn0011656&tableOut=gene:25:Carcass	9.83	1.24	1.05	11.56	1.62	1.99	0.85	n.s.	8.66	0.71	1.82
index.html?fbgn=FBgn0011659&tableOut=gene:25:Carcass	0.72	0.11	-1	1.07	0.43	0.24	1	n.s.	1.3	0.26	-1
index.html?fbgn=FBgn0011660&tableOut=gene:25:Carcass	0.9	0.21	0.42	1.21	0.69	0.24	1	n.s.	2.29	0.27	1.08
index.html?fbgn=FBgn0011661&tableOut=gene:25:Carcass	36.78	3.51	0.97	40.25	1.26	0.84	0.91	n.s.	58.01	7.53	0.86
index.html?fbgn=FBgn0011666&tableOut=gene:25:Carcass	2.37	0.44	0.34	2.99	0.73	0.32	0.79	n.s.	4.22	0.72	1.37
index.html?fbgn=FBgn0011668&tableOut=gene:25:Carcass	181.6	98.58	0.02	0.31	0.29	-1	91	n.s.	0	0	-1
index.html?fbgn=FBgn0011669&tableOut=gene:25:Carcass	1555.85	894.42	0.02	2.97	1.88	0.12	524	n.s.	0	0	0
index.html?fbgn=FBgn0011670&tableOut=gene:25:Carcass	71.73	34.97	0.06	0.13	0.23	-1	36	n.s.	0	0	-1
index.html?fbgn=FBgn0011672&tableOut=gene:25:Carcass	16.92	0.85	1.06	20.61	2.72	1.05	0.82	n.s.	17.12	1.3	0.52
index.html?fbgn=FBgn0011674&tableOut=gene:25:Carcass	2.24	0.48	1	2.76	0.24	0.72	0.81	n.s.	0.37	0.03	-1
index.html?fbgn=FBgn0011676&tableOut=gene:25:Carcass	0.27	0.09	-1	0.14	0.03	-1	1	n.s.	0.04	0.02	-1
index.html?fbgn=FBgn0011692&tableOut=gene:25:Carcass	0.14	0.04	-1	1.47	1.44	0.15	1	n.s.	5.35	0.1	1.37
index.html?fbgn=FBgn0011693&tableOut=gene:25:Carcass	2.36	0.52	0.02	0.68	0.38	0.03	1.18	p > 0.05	0	0	-1
index.html?fbgn=FBgn0011694&tableOut=gene:25:Carcass	5931.38	"1,726.76"	0.84	0.15	0.27	-1	2966	p > 0.05	0.14	0.25	-1
index.html?fbgn=FBgn0011695&tableOut=gene:25:Carcass	698.6	85.57	0.58	346.3	127.89	1.22	2	p > 0.05	43.98	8.76	2
index.html?fbgn=FBgn0011701&tableOut=gene:25:Carcass	2.38	0.36	0.92	1.84	0.74	-1	1.19	n.s.	0.78	0.16	-1
index.html?fbgn=FBgn0011703&tableOut=gene:25:Carcass	1.04	0.29	-1	5.69	4.53	0.19	0.35	n.s.	12.73	1.11	1.78
index.html?fbgn=FBgn0011704&tableOut=gene:25:Carcass	3.5	0.23	0.91	14.37	11.14	0.2	0.24	n.s.	16.09	1.64	1.02
index.html?fbgn=FBgn0011705&tableOut=gene:25:Carcass	7.83	0.95	1.28	36.49	10.75	1.72	0.21	p > 0.05	6.2	1.5	0.81
index.html?fbgn=FBgn0011706&tableOut=gene:25:Carcass	0.36	0.04	-1	0.65	0.21	-1	1	n.s.	2.47	0.72	1.24
index.html?fbgn=FBgn0011708&tableOut=gene:25:Carcass	18.32	0.47	1.2	17.42	2.63	1.56	1.05	n.s.	12.5	1.24	0.68
index.html?fbgn=FBgn0011710&tableOut=gene:25:Carcass	6.25	0.66	0.94	7.99	1.52	0.44	0.78	n.s.	11.2	0.89	0.62
index.html?fbgn=FBgn0011715&tableOut=gene:25:Carcass	3.83	0.14	1.08	5.8	0.67	0.5	0.66	p > 0.05	6.29	0.51	0.9
index.html?fbgn=FBgn0011722&tableOut=gene:25:Carcass	7.53	1.26	1.12	11.2	2.09	2.69	0.67	n.s.	8	1.37	0.32
index.html?fbgn=FBgn0011723&tableOut=gene:25:Carcass	0.3	0.05	-1	0.27	0.03	-1	1	n.s.	0.3	0.15	-1
index.html?fbgn=FBgn0011725&tableOut=gene:25:Carcass	10.57	0.99	0.35	9.76	1.17	0.53	1.08	n.s.	8.21	0.19	0.99
index.html?fbgn=FBgn0011726&tableOut=gene:25:Carcass	113.64	11.12	0.82	119.38	22.04	0.38	0.95	n.s.	763.93	46.81	1.77
index.html?fbgn=FBgn0011737&tableOut=gene:25:Carcass	4.85	0.13	0.47	4.88	0.59	0.55	0.99	n.s.	3.27	0.22	0.89
index.html?fbgn=FBgn0011739&tableOut=gene:25:Carcass	4.3	0.38	0.78	4.75	0.18	0.77	0.91	n.s.	2.66	0.18	1.33
index.html?fbgn=FBgn0011740&tableOut=gene:25:Carcass	4.09	0.74	0.7	3.91	0.18	0.63	1.05	n.s.	5.26	0.26	1.64
index.html?fbgn=FBgn0011741&tableOut=gene:25:Carcass	7.92	0.93	1.49	6.68	0.57	0.86	1.19	n.s.	8.2	0.6	0.97
index.html?fbgn=FBgn0011742&tableOut=gene:25:Carcass	8.95	1.2	0.6	12.9	0.75	0.38	0.69	p > 0.05	17.28	0.38	0.66
index.html?fbgn=FBgn0011743&tableOut=gene:25:Carcass	1.92	1.35	0.13	0.02	0.02	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011745&tableOut=gene:25:Carcass	24.94	0.44	1.13	24.59	3.37	0.94	1.01	n.s.	45.12	3.88	1.14
index.html?fbgn=FBgn0011746&tableOut=gene:25:Carcass	1.2	0.13	0.24	1.18	0.23	-1	1	n.s.	0.39	0.04	-1
index.html?fbgn=FBgn0011747&tableOut=gene:25:Carcass	58.85	7.66	1.44	51.15	5.02	1.72	1.15	n.s.	114.08	10.56	2.03
index.html?fbgn=FBgn0011754&tableOut=gene:25:Carcass	34.78	2.29	1.26	27.09	3.57	1.3	1.28	p > 0.05	20.41	3.06	2.91
index.html?fbgn=FBgn0011758&tableOut=gene:25:Carcass	0.37	0.02	-1	0.38	0.16	-1	1	n.s.	0.5	0.11	-1
index.html?fbgn=FBgn0011760&tableOut=gene:25:Carcass	47.06	2.88	1.54	42.6	6.79	1.29	1.1	n.s.	82.32	11.83	1.53
index.html?fbgn=FBgn0011761&tableOut=gene:25:Carcass	3.75	5.82	1.88	144.99	127.62	0.15	0.03	n.s.	0	0	-1
index.html?fbgn=FBgn0011762&tableOut=gene:25:Carcass	1.14	0.3	-1	1.89	0.35	0.38	1	p > 0.05	3.43	0.3	1.19
index.html?fbgn=FBgn0011763&tableOut=gene:25:Carcass	12.52	0.13	1.25	15.6	1.99	0.69	0.8	n.s.	17.78	1.12	1.4
index.html?fbgn=FBgn0011766&tableOut=gene:25:Carcass	7.92	0.34	1.25	8.75	1.44	1.01	0.91	n.s.	9.04	0.6	1.3
index.html?fbgn=FBgn0011768&tableOut=gene:25:Carcass	58.86	8.79	1.6	49.81	8.44	1.35	1.18	n.s.	33.16	4.02	0.8
index.html?fbgn=FBgn0011769&tableOut=gene:25:Carcass	5.95	1.45	1.04	5.83	1.5	0.7	1.02	n.s.	3.61	0.51	1.32
index.html?fbgn=FBgn0011770&tableOut=gene:25:Carcass	101.26	13.6	1.37	69.14	21.19	1.85	1.46	n.s.	43.99	1.28	0.89
index.html?fbgn=FBgn0011771&tableOut=gene:25:Carcass	6.07	0.86	1.16	6.92	0.11	0.87	0.88	n.s.	8.05	0.24	0.95
index.html?fbgn=FBgn0011774&tableOut=gene:25:Carcass	2.06	0.41	0.84	3.27	0.67	0.34	0.63	n.s.	2.02	0.05	1
index.html?fbgn=FBgn0011785&tableOut=gene:25:Carcass	2.56	0.76	0.67	3.08	0.09	0.36	0.83	n.s.	2.44	0.2	1.22
index.html?fbgn=FBgn0011787&tableOut=gene:25:Carcass	11.67	0.16	1.2	15.76	1.82	0.59	0.74	n.s.	10.44	0.42	1.01
index.html?fbgn=FBgn0011802&tableOut=gene:25:Carcass	1.63	0.43	-1	2.59	0.98	0.38	0.77	n.s.	2.64	0.35	1.3
index.html?fbgn=FBgn0011812&tableOut=gene:25:Carcass	0	0	-1	0.05	0.09	-1	1	n.s.	1.09	0.58	-1
index.html?fbgn=FBgn0011817&tableOut=gene:25:Carcass	2.63	0.43	0.31	2.77	0.73	0.31	0.95	n.s.	3.34	0.36	0.96
index.html?fbgn=FBgn0011818&tableOut=gene:25:Carcass	4.41	0.75	0.68	5.52	0.77	0.44	0.8	n.s.	3.09	0.25	0.9
index.html?fbgn=FBgn0011822&tableOut=gene:25:Carcass	0.65	0.54	-1	0.76	0.18	0.22	1	n.s.	0	0	0
index.html?fbgn=FBgn0011824&tableOut=gene:24:Carcass	2.36	0.83	0.64	8.42	1.12	0.18	0.28	p > 0.01	3.94	0.46	1.26
index.html?fbgn=FBgn0011826&tableOut=gene:25:Carcass	7.98	0.93	1.35	8.9	0.36	0.92	0.9	n.s.	3.57	0.41	0.95
index.html?fbgn=FBgn0011828&tableOut=gene:25:Carcass	5.87	0.63	0.89	6.98	1.48	2.58	0.84	n.s.	20.18	2.9	1.99
index.html?fbgn=FBgn0011829&tableOut=gene:25:Carcass	0.32	0.16	-1	0.39	0.17	-1	1	n.s.	0.83	0.16	-1
index.html?fbgn=FBgn0011832&tableOut=gene:25:Carcass	0	0	-1	11.23	9.28	3.55	0.18	n.s.	0	0	-1
index.html?fbgn=FBgn0011834&tableOut=gene:25:Carcass	0.67	0.34	0.24	0.36	0.18	0.16	1	n.s.	0.03	0.06	0.01
index.html?fbgn=FBgn0011836&tableOut=gene:25:Carcass	2.52	0.22	1.15	2.96	0.56	0.57	0.85	n.s.	3.44	0.3	1.17
index.html?fbgn=FBgn0011837&tableOut=gene:25:Carcass	15.95	0.29	1.33	19.86	1.35	1.27	0.8	p > 0.05	13.7	1.35	0.92
index.html?fbgn=FBgn0011840&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011844&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011845&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011848&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011849&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011850&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011851&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011852&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011853&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011854&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011855&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011858&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011859&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011860&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011861&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011862&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011863&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011864&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011865&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011866&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011867&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011868&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011869&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011870&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011871&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011872&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011877&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011878&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011879&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011880&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011881&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011882&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011883&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011884&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011885&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011887&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011888&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011889&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011890&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011891&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011892&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011893&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011894&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011895&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011896&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011897&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011902&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011904&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011905&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011906&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011909&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011910&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011915&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011916&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011919&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011921&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011927&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011928&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011931&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011932&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011933&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011934&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011935&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011936&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011937&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011938&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011944&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011945&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011948&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011949&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011950&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011951&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011952&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011953&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011954&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011955&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011956&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011957&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011958&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011959&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011960&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011961&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011962&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011963&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011965&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011966&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011970&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011971&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011974&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011975&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011976&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011977&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011980&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011981&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011982&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011983&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0011984&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
